"year"	"inv"	"pop"	"price"	"linv"	"lpop"	"lprice"	"t"	"invpc"	"linvpc"	"lprice_1"	"linvpc_1"	"gprice"	"ginvpc"
"25"	1971	124309	207191	0.8798	11.73053	12.2414	-0.1280606	25	0.599973	-0.5108707	"-0.1252231"	"-0.7500486"	"-0.0028375"	"0.2391779"
"26"	1972	147269	209353	0.8874	11.90002	12.25178	-0.1194595	26	0.7034482	-0.351761	"-0.1280606"	"-0.5108707"	"0.0086012"	"0.1591097"
"27"	1973	145286	211536	0.9057	11.88646	12.26215	-0.0990471	27	0.6868145	-0.375691	"-0.1194595"	"-0.351761"	"0.0204123"	"-0.02393"
"28"	1974	112349	213743	0.9232	11.62936	12.27253	-0.0799094	28	0.5256266	-0.6431642	"-0.0990471"	"-0.375691"	"0.0191378"	"-0.2674733"
"29"	1975	95170	215973	0.9147	11.46342	12.28291	-0.0891592	29	0.4406569	-0.8194886	"-0.0799094"	"-0.6431642"	"-0.0092498"	"-0.1763244"
"30"	1976	117727	218280	0.9199	11.67612	12.29353	-0.0834903	30	0.5393394	-0.6174103	"-0.0891592"	"-0.8194886"	"0.0056689"	"0.2020783"
"31"	1977	142412	220612	0.9604	11.86648	12.30416	-0.0404054	31	0.6455315	-0.4376812	"-0.0834903"	"-0.6174103"	"0.0430849"	"0.1797291"
"32"	1978	151261	222968	1.0061	11.92676	12.31478	0.0060815	32	0.6783978	-0.3880215	"-0.0404054"	"-0.4376812"	"0.046487"	"0.0496598"
"33"	1979	143049	225350	1.0356	11.87094	12.32541	0.0349809	33	0.6347859	-0.4544675	"0.0060815"	"-0.3880215"	"0.0288994"	"-0.066446"
"34"	1980	112310	227757	1.0432	11.62902	12.33603	0.0422929	34	0.4931133	-0.7070163	"0.0349809"	"-0.4544675"	"0.007312"	"-0.2525488"
"35"	1981	102714	230139	1.0282	11.5397	12.34644	0.0278097	35	0.4463129	-0.806735	"0.0422929"	"-0.7070163"	"-0.0144832"	"-0.0997187"
"36"	1982	84676	232520	1	11.34659	12.35673	0	36	0.3641665	-1.010144	"0.0278097"	"-0.806735"	"-0.0278097"	"-0.203409"
"37"	1983	122819	234799	0.9836	11.71847	12.36648	-0.0165359	37	0.5230814	-0.6480181	"0"	"-1.010144"	"-0.0165359"	"0.3621259"
"38"	1984	145166	237001	0.9836	11.88563	12.37582	-0.0165359	38	0.6125122	-0.4901865	"-0.0165359"	"-0.6480181"	"0"	"0.1578317"
"39"	1985	146311	239279	0.976	11.89349	12.38539	-0.0242927	39	0.6114661	-0.4918957	"-0.0165359"	"-0.4901865"	"-0.0077567"	"-0.0017093"
"40"	1986	168406	241625	0.976	12.03413	12.39514	-0.0242927	40	0.6969726	-0.3610092	"-0.0242927"	"-0.4918957"	"0"	"0.1308866"
"41"	1987	167459	243934	0.9892	12.02849	12.40465	-0.0108587	41	0.686493	-0.3761592	"-0.0242927"	"-0.3610092"	"0.0134339"	"-0.01515"
"42"	1988	165459	246329	0.9864	12.01648	12.41442	-0.0136933	42	0.6716992	-0.3979446	"-0.0108587"	"-0.3761592"	"-0.0028346"	"-0.0217854"
